CASE_NUMBER,CASE_STATUS,EMPLOYER_NAME,JOB_TITLE,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY
A-12345-67890,CERTIFIED,ACME ANALYTICS INC,DATA SCIENTIST,NEW YORK,NY,150000,185000,Year
A-12345-67891,CERTIFIED,ACME ANALYTICS INC,DATA SCIENTIST,NEW YORK,NY,160000,195000,Year
A-12345-67892,CERTIFIED,ACME ANALYTICS INC,SENIOR DATA SCIENTIST,NEW YORK,NY,175000,210000,Year
A-12345-67893,CERTIFIED,ACME ANALYTICS INC,SENIOR DATA SCIENTIST,NEW YORK,NY,170000,205000,Year
A-12345-67894,CERTIFIED,ACME ANALYTICS INC,MACHINE LEARNING ENGINEER,SAN FRANCISCO,CA,180000,230000,Year
A-12345-67895,CERTIFIED,ACME ANALYTICS INC,MACHINE LEARNING ENGINEER,SAN FRANCISCO,CA,185000,240000,Year
A-12345-67896,CERTIFIED,GLOBEX CORPORATION,DATA SCIENTIST,CHICAGO,IL,130000,160000,Year
A-12345-67897,CERTIFIED,GLOBEX CORPORATION,DATA SCIENTIST,CHICAGO,IL,135000,165000,Year
A-12345-67898,CERTIFIED,GLOBEX CORPORATION,DATA ANALYST,CHICAGO,IL,95000,115000,Year
A-12345-67899,WITHDRAWN,ACME ANALYTICS INC,DATA SCIENTIST,NEW YORK,NY,90000,100000,Year
